upz_origen,upz_vecina
16,97
16,21
16,14
16,20
16,15
16,19
31,110
31,115
31,116
31,30
31,105
31,26
19,16
19,20
19,15
19,13
19,12
19,24
19,23
19,18
32,50
32,34
32,33
32,95
32,96
33,36
33,32
33,34
33,35
33,95
20,97
20,21
20,16
20,15
20,19
20,25
20,24
48,65
48,49
48,45
48,85
48,81
48,47
49,65
49,69
49,45
49,85
49,48
50,55
50,54
50,53
50,51
50,60
50,32
50,34
58,61
58,64
58,57
58,63
58,59
51,55
51,52
51,60
51,50
52,61
52,57
52,51
52,60
53,54
53,42
53,36
53,39
53,50
53,34
54,56
54,55
54,62
54,53
54,42
54,60
54,50
55,56
55,54
55,51
55,60
55,50
75,112
75,77
75,76
75,117
75,115
105,110
105,31
105,109
105,104
105,103
105,26
21,98
21,97
21,16
21,20
21,22
21,26
21,25
34,53
34,36
34,50
34,32
34,33
34,35
35,36
35,39
35,38
35,34
35,33
35,95
35,37
36,53
36,39
36,38
36,34
36,33
36,35
39,53
39,36
39,38
39,35
88,90
88,97
88,14
40,38
40,41
40,43
40,37
40,102
40,108
94,95
94,96
94,92
94,93
37,38
37,40
37,35
37,95
37,102
37,108
10,11
10,12
10,18
10,17
10,9
100,99
100,98
100,101
100,106
100,104
100,103
101,91
101,99
101,100
101,93
101,102
101,108
101,107
101,104
103,100
103,98
103,106
103,104
103,105
103,22
103,26
104,110
104,100
104,101
104,107
104,109
104,106
104,103
104,105
104,26
106,100
106,98
106,104
106,103
107,111
107,102
107,108
107,101
107,109
107,104
83,81
83,84
83,82
83,86
108,40
108,43
108,111
108,37
108,102
108,101
108,107
109,111
109,112
109,110
109,107
109,104
109,105
11,13
11,12
11,10
110,111
110,112
110,114
110,31
110,115
110,109
110,104
110,105
111,43
111,113
111,112
111,110
111,44
111,108
111,107
111,109
112,111
112,113
112,110
112,46
112,78
112,75
112,77
112,114
112,115
112,109
113,43
113,111
113,112
113,44
113,46
114,112
114,110
114,115
12,19
12,13
12,11
12,18
12,10
12,17
13,15
13,19
13,11
13,12
13,18
14,88
14,97
14,16
14,15
22,98
22,103
22,21
22,26
23,19
23,24
23,27
23,18
23,17
116,117
116,74
116,31
116,115
116,30
116,73
25,21
25,20
25,26
25,29
25,24
25,28
26,31
26,30
26,104
26,103
26,21
26,105
26,22
26,25
26,29
27,71
27,24
27,28
27,23
41,42
41,45
41,38
41,40
41,43
41,44
28,72
28,71
28,25
28,29
28,24
28,27
64,61
64,58
64,63
60,57
60,56
60,55
60,54
60,52
60,51
60,50
42,54
42,62
42,53
42,66
42,65
42,45
42,38
42,41
43,45
43,41
43,40
43,111
43,113
43,44
43,108
44,45
44,41
44,43
44,111
44,113
44,47
44,46
2,17
2,9
2,1
2,3
115,112
115,110
115,75
115,117
115,114
115,31
115,116
45,42
45,65
45,49
45,41
45,43
45,48
45,44
45,47
46,113
46,112
46,44
46,47
46,80
46,82
46,79
46,78
47,45
47,48
47,81
47,44
47,80
47,46
79,82
79,46
79,78
76,75
76,77
76,117
3,2
3,1
57,61
57,58
57,56
57,63
57,59
57,52
57,60
59,61
59,58
59,57
63,64
63,58
63,57
63,56
63,62
63,68
63,67
62,56
62,63
62,54
62,67
62,66
62,42
62,65
65,62
65,66
65,70
65,42
65,69
65,49
65,45
65,48
17,12
17,23
17,18
17,10
17,9
17,2
15,14
15,16
15,20
15,19
15,13
18,19
18,13
18,12
18,23
18,10
18,17
74,117
74,116
74,73
78,112
78,46
78,79
78,77
61,64
61,58
61,57
61,59
61,52
117,75
117,76
117,74
117,115
117,116
77,112
77,78
77,75
77,76
87,85
87,84
87,86
1,9
1,2
1,3
24,20
24,19
24,25
24,28
24,27
24,23
73,74
73,116
73,30
73,72
73,29
38,42
38,36
38,39
38,41
38,40
38,35
38,95
38,37
56,57
56,63
56,55
56,54
56,62
56,60
69,70
69,65
69,49
69,85
70,67
70,66
70,65
70,69
71,72
71,28
71,27
97,90
97,99
97,98
97,88
97,21
97,14
97,16
97,20
98,99
98,100
98,106
98,103
98,97
98,21
98,22
99,91
99,90
99,100
99,98
99,101
99,97
72,30
72,73
72,71
72,29
72,28
102,40
102,95
102,91
102,37
102,93
102,108
102,101
102,107
80,81
80,47
80,82
80,46
81,85
81,48
81,47
81,84
81,80
81,83
81,82
82,81
82,80
82,83
82,46
82,79
30,31
30,116
30,73
30,72
30,26
30,29
84,85
84,81
84,87
84,83
84,86
85,69
85,49
85,48
85,81
85,84
85,87
86,84
86,87
86,83
92,96
92,94
92,91
92,93
9,10
9,17
9,2
9,1
91,92
91,90
91,99
91,93
91,102
91,101
93,95
93,94
93,92
93,91
93,102
93,101
95,38
95,32
95,33
95,35
95,96
95,94
95,37
95,93
95,102
96,32
96,95
96,94
96,92
66,62
66,67
66,70
66,42
66,65
67,63
67,62
67,68
67,66
67,70
68,63
68,67
29,30
29,73
29,72
29,26
29,25
29,28
90,91
90,99
90,88
90,97
